"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Riverside-San Bernardino-Ontario, CA","40140",2019,120,86,27,7,0,0,0,150,71,44,0,0,77,0,2,41
"Riverton, WY","40180",2019,90,73,17,0,0,0,0,90,64,45,0,0,79,0,11,0
"Roanoke, VA","40220",2019,91,84,7,0,0,0,0,71,48,29,1,9,27,0,54,0
"Rochester, NY","40380",2019,91,86,5,0,0,0,0,58,46,37,1,8,66,0,16,0
"Rock Springs, WY","40540",2019,90,73,16,1,0,0,0,133,58,45,0,3,83,0,3,1
"Rockford, IL","40420",2019,83,53,30,0,0,0,0,81,64,46,0,0,18,0,65,0
"Rockland, ME","40500",2019,61,61,0,0,0,0,0,50,47,44,0,0,61,0,0,0
"Rocky Mount, NC","40580",2019,84,84,0,0,0,0,0,46,33,16,0,0,0,0,84,0
"Rome, GA","40660",2019,120,115,5,0,0,0,0,77,34,3,0,0,0,89,31,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2019,90,74,13,3,0,0,0,116,76,39,0,0,63,0,26,1
"Salem, OH","41400",2019,84,84,0,0,0,0,0,26,9,0,0,0,0,68,0,16
"Salinas, CA","41500",2019,91,90,1,0,0,0,0,65,44,36,1,0,87,0,3,0
"Salisbury, MD-DE","41540",2019,120,98,22,0,0,0,0,87,58,41,0,0,78,0,42,0
"Salt Lake City, UT","41620",2019,121,81,37,3,0,0,0,124,75,47,1,12,81,0,27,0
"San Francisco-Oakland-Hayward, CA","41860",2019,60,45,14,0,1,0,0,194,62,40,1,10,27,1,21,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2019,90,78,12,0,0,0,0,68,56,38,0,0,69,0,21,0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2019,90,83,7,0,0,0,0,68,47,37,0,0,43,0,41,6
"Santa Cruz-Watsonville, CA","42100",2019,90,86,4,0,0,0,0,61,45,38,0,0,74,0,16,0
"Santa Maria-Santa Barbara, CA","42200",2019,91,90,1,0,0,0,0,54,46,40,1,0,88,0,2,0
"Santa Rosa, CA","42220",2019,58,56,2,0,0,0,0,80,44,35,1,1,33,0,23,0
"Sault Ste. Marie, MI","42300",2019,1,0,1,0,0,0,0,51,51,51,0,0,0,0,1,0
"Savannah, GA","42340",2019,120,103,17,0,0,0,0,79,54,41,0,0,53,14,53,0
"Scottsbluff, NE","42420",2019,26,25,1,0,0,0,0,51,35,20,0,0,0,0,26,0
"Seattle-Tacoma-Bellevue, WA","42660",2019,32,15,15,2,0,0,0,142,87,55,1,6,4,0,21,0
"Sebastian-Vero Beach, FL","42680",2019,57,56,1,0,0,0,0,54,43,37,0,0,57,0,0,0
"Seneca Falls, NY","42900",2019,16,5,0,11,0,0,0,115,115,114,0,0,0,16,0,0
"Seneca, SC","42860",2019,90,76,14,0,0,0,0,90,58,39,0,0,87,0,3,0
"Sevierville, TN","42940",2019,90,79,11,0,0,0,0,87,54,42,0,0,90,0,0,0
