lat,lng,date,PM25
35.65188,-87.0096,2019-06-17T17:00,33
33.3311,-87.0036,2019-06-17T17:00,34
34.5286,-86.9706,2019-06-17T17:00,37
33.8017,-86.9425,2019-06-17T17:00,43
33.4997,-86.9242,2019-06-17T17:00,52
33.565278,-86.796389,2019-06-17T17:00,46
36.2975,-86.6525,2019-06-17T17:00,31
33.5453,-86.5492,2019-06-17T17:00,42
32.4069,-86.2564,2019-06-17T17:00,-999
39.7889,-86.2147,2019-06-17T17:00,26
37.1314,-86.1481,2019-06-17T17:00,60
39.787933,-86.13088,2019-06-17T17:00,48
38.0608,-85.8961,2019-06-17T17:00,27
37.7064,-85.8517,2019-06-17T17:00,31
30.128901,-85.738098,2019-06-17T17:00,23
38.1935,-85.7121,2019-06-17T17:00,29
42.984699,-85.671097,2019-06-17T17:00,30
38.2286,-85.6544,2019-06-17T17:00,26
40.125557,-85.652222,2019-06-17T17:00,23
30.8475,-85.6044,2019-06-17T17:00,14
38.1825,-85.5744,2019-06-17T17:00,23
42.2781,-85.5419,2019-06-17T17:00,45
36.1857,-85.4921,2019-06-17T17:00,30
35.0508,-85.2931,2019-06-17T17:00,41
32.5214,-84.9436,2019-06-17T17:00,48
44.3106,-84.891899,2019-06-17T17:00,11
39.83562,-84.72049,2019-06-17T17:00,15
35.4511,-84.5992,2019-06-17T17:00,50
42.76138,-84.562867,2019-06-17T17:00,26
39.12886,-84.50404,2019-06-17T17:00,26
39.0217,-84.4744,2019-06-17T17:00,19
39.2787,-84.36612,2019-06-17T17:00,22
33.7206,-84.3578,2019-06-17T17:00,52
39.758235,-84.197375,2019-06-17T17:00,25
30.0842,-84.1617,2019-06-17T17:00,19
33.4347,-84.1617,2019-06-17T17:00,38
39.0828,-84.1441,2019-06-17T17:00,10
40.771,-84.0539,2019-06-17T17:00,40
41.995602,-83.946701,2019-06-17T17:00,22
35.6322,-83.9422,2019-06-17T17:00,50
35.7683,-83.9422,2019-06-17T17:00,42
35.9803,-83.9306,2019-06-17T17:00,52
43.5714,-83.8908,2019-06-17T17:00,13
39.92882,-83.80949,2019-06-17T17:00,27
43.0289,-83.669403,2019-06-17T17:00,20
42.24,-83.5997,2019-06-17T17:00,31
38.79471,-83.533988,2019-06-17T17:00,16
35.4356,-83.4436,2019-06-17T17:00,38
34.805,-83.237503,2019-06-17T17:00,45
37.2831,-83.2203,2019-06-17T17:00,21
42.2283,-83.2092,2019-06-17T17:00,43
42.3075,-83.15,2019-06-17T17:00,29
42.295824,-83.129431,2019-06-17T17:00,37
42.312078,-83.103469,2019-06-17T17:00,35
42.312158,-83.091943,2019-06-17T17:00,31
40.11109,-83.065376,2019-06-17T17:00,24
42.3144,-83.0433,2019-06-17T17:00,22
40.0845,-82.81552,2019-06-17T17:00,30
30.4264,-82.7947,2019-06-17T17:00,38
38.508114,-82.659301,2019-06-17T17:00,18
28.958372,-82.643094,2019-06-17T17:00,28
38.4592,-82.6339,2019-06-17T17:00,16
30.1783,-82.6192,2019-06-17T17:00,18
37.4828,-82.5353,2019-06-17T17:00,19
36.5408,-82.5217,2019-06-17T17:00,54
42.9533,-82.4564,2019-06-17T17:00,19
34.843899,-82.414597,2019-06-17T17:00,53
42.990263,-82.395341,2019-06-17T17:00,10
42.4033,-82.2086,2019-06-17T17:00,23
29.170799,-82.1008,2019-06-17T17:00,25
41.0604,-81.9239,2019-06-17T17:00,24
33.7397,-81.8536,2019-06-17T17:00,17
43.3306,-81.7425,2019-06-17T17:00,12
41.492191,-81.678552,2019-06-17T17:00,53
30.1358,-81.6339,2019-06-17T17:00,30
30.262808,-81.606834,2019-06-17T17:00,33
44.2994,-81.5753,2019-06-17T17:00,12
30.62673,-81.53597,2019-06-17T17:00,27
41.4409,-81.4949,2019-06-17T17:00,32
41.063526,-81.468956,2019-06-17T17:00,32
40.800717,-81.373,2019-06-17T17:00,38
35.73,-81.37,2019-06-17T17:00,53
41.726811,-81.242156,2019-06-17T17:00,27
42.974461,-81.200858,2019-06-17T17:00,10
42.6725,-81.1647,2019-06-17T17:00,19
34.093899,-80.962196,2019-06-17T17:00,24
34.91263,-80.874283,2019-06-17T17:00,8
35.213171,-80.874084,2019-06-17T17:00,49
35.2411,-80.7831,2019-06-17T17:00,43
41.095938,-80.658467,2019-06-17T17:00,48
40.366452,-80.615691,2019-06-17T17:00,19
43.4419,-80.5044,2019-06-17T17:00,12
40.4447,-80.42,2019-06-17T17:00,20
36.0261,-80.3419,2019-06-17T17:00,56
40.747799,-80.316704,2019-06-17T17:00,22
43.1403,-80.2961,2019-06-17T17:00,21
39.82,-80.2897,2019-06-17T17:00,13
35.8142,-80.2633,2019-06-17T17:00,52
34.615299,-80.198898,2019-06-17T17:00,28
45.3378,-80.0378,2019-06-17T17:00,12
42.1428,-80.0372,2019-06-17T17:00,11
40.4656,-79.9611,2019-06-17T17:00,37
32.791,-79.959,2019-06-17T17:00,22
40.1469,-79.9033,2019-06-17T17:00,22
37.285599,-79.884201,2019-06-17T17:00,36
43.2561,-79.8617,2019-06-17T17:00,55
36.1092,-79.8011,2019-06-17T17:00,54
34.2143,-79.7673,2019-06-17T17:00,18
40.8142,-79.565,2019-06-17T17:00,56
40.3053,-79.5061,2019-06-17T17:00,5
44.3922,-79.3922,2019-06-17T17:00,13
43.6619,-79.3853,2019-06-17T17:00,31
43.1583,-79.235,2019-06-17T17:00,25
39.705799,-79.011902,2019-06-17T17:00,13
35.041401,-78.953102,2019-06-17T17:00,31
45.2211,-78.9314,2019-06-17T17:00,48
40.3097,-78.9158,2019-06-17T17:00,23
42.9981,-78.8993,2019-06-17T17:00,7
35.9919,-78.8964,2019-06-17T17:00,33
35.889402,-78.8747,2019-06-17T17:00,38
42.8781,-78.8094,2019-06-17T17:00,12
42.92111,-78.76611,2019-06-17T17:00,13
35.856098,-78.574203,2019-06-17T17:00,45
38.076599,-78.503998,2019-06-17T17:00,33
35.5,-78.4375,2019-06-17T17:00,39
38.5231,-78.4347,2019-06-17T17:00,21
44.3,-78.35,2019-06-17T17:00,13
39.282799,-78.081398,2019-06-17T17:00,23
40.8114,-77.8769,2019-06-17T17:00,28
34.3561,-77.8617,2019-06-17T17:00,0
39.565601,-77.721901,2019-06-17T17:00,-999
35.9889,-77.5867,2019-06-17T17:00,44
43.1461,-77.5481,2019-06-17T17:00,22
37.55652,-77.40027,2019-06-17T17:00,59
44.1503,-77.3956,2019-06-17T17:00,13
39.9233,-77.3081,2019-06-17T17:00,36
40.2464,-77.1867,2019-06-17T17:00,33
38.771702,-77.108902,2019-06-17T17:00,29
39.114399,-77.106903,2019-06-17T17:00,25
38.921848,-77.013176,2019-06-17T17:00,30
38.875161,-77.012816,2019-06-17T17:00,35
38.895683,-76.958089,2019-06-17T17:00,34
41.6447,-76.9392,2019-06-17T17:00,18
39.055302,-76.878304,2019-06-17T17:00,23
40.246992,-76.846988,2019-06-17T17:00,41
39.143197,-76.846192,2019-06-17T17:00,11
39.9653,-76.6994,2019-06-17T17:00,22
39.462002,-76.631599,2019-06-17T17:00,22
39.2981,-76.604698,2019-06-17T17:00,17
44.219867,-76.521128,2019-06-17T17:00,24
41.705226,-76.512726,2019-06-17T17:00,22
37.103683,-76.386948,2019-06-17T17:00,48
40.33733,-76.383446,2019-06-17T17:00,18
39.41,-76.2967,2019-06-17T17:00,20
40.0467,-76.2833,2019-06-17T17:00,26
38.5876,-76.1408,2019-06-17T17:00,28
40.0439,-76.1125,2019-06-17T17:00,32
40.3833,-75.9686,2019-06-17T17:00,21
39.701099,-75.860001,2019-06-17T17:00,28
39.305199,-75.797203,2019-06-17T17:00,23
39.8344,-75.7678,2019-06-17T17:00,32
39.5511,-75.7308,2019-06-17T17:00,32
41.4428,-75.6231,2019-06-17T17:00,15
38.6444,-75.6131,2019-06-17T17:00,21
39.595001,-75.611,2019-06-17T17:00,30
39.7394,-75.5581,2019-06-17T17:00,29
38.9847,-75.5556,2019-06-17T17:00,18
40.6119,-75.4325,2019-06-17T17:00,28
39.818715,-75.413973,2019-06-17T17:00,26
39.8356,-75.3725,2019-06-17T17:00,26
40.6281,-75.3411,2019-06-17T17:00,16
40.170917,-122.255667,2019-06-17T18:00,28
38.979271,-105.352989,2019-06-17T18:00,2
41.18222,-104.778336,2019-06-17T18:00,-999
